group,variable,value,religion
27,Austria,2,Roman_Catholicism
28,Austria,2,Roman_Catholicism
29,Austria,2,Roman_Catholicism
30,Austria,2,Roman_Catholicism
31,Austria,2,Roman_Catholicism
32,Austria,2,Roman_Catholicism
33,Austria,2,Roman_Catholicism
34,Austria,2,Roman_Catholicism
35,Austria,2,Roman_Catholicism
36,Austria,2,Roman_Catholicism
37,Austria,2,Roman_Catholicism
38,Austria,2,Roman_Catholicism
39,Austria,2,Roman_Catholicism
40,Austria,2,Roman_Catholicism
41,Austria,2,Roman_Catholicism
42,Austria,2,Roman_Catholicism
43,Austria,2,Roman_Catholicism
44,Austria,2,Roman_Catholicism
45,Austria,2,Roman_Catholicism
46,Austria,2,Roman_Catholicism
47,Austria,2,Roman_Catholicism
48,Austria,2,Roman_Catholicism
49,Austria,2,Roman_Catholicism
50,Austria,2,Roman_Catholicism
51,Austria,2,Roman_Catholicism
52,Austria,2,Roman_Catholicism
53,Austria,2,Roman_Catholicism
54,Austria,2,Roman_Catholicism
55,Austria,2,Roman_Catholicism
56,Austria,2,Roman_Catholicism
57,Austria,2,Roman_Catholicism
58,Austria,2,Roman_Catholicism
59,Austria,2,Roman_Catholicism
60,Austria,2,Roman_Catholicism
61,Austria,2,Roman_Catholicism
62,Austria,2,Roman_Catholicism
63,Austria,2,Roman_Catholicism
64,Austria,2,Roman_Catholicism
65,Austria,2,Roman_Catholicism
66,Austria,2,Roman_Catholicism
67,Austria,10,Lutheranism
68,Austria,10,Lutheranism
69,Austria,10,Lutheranism
70,Austria,10,Lutheranism
71,Austria,10,Lutheranism
72,Austria,10,Lutheranism
73,Austria,10,Lutheranism
74,Austria,10,Lutheranism
75,Austria,10,Lutheranism
76,Austria,10,Lutheranism
77,Austria,10,Lutheranism
78,Austria,10,Lutheranism
79,Austria,10,Lutheranism
80,Austria,10,Lutheranism
81,Austria,10,Lutheranism
82,Austria,10,Lutheranism
83,Austria,6,Calvinism
84,Austria,6,Calvinism
85,Austria,6,Calvinism
86,Austria,6,Calvinism
83,Austria,5,Other
84,Austria,5,Other
85,Austria,5,Other
86,Austria,5,Other
87,Austria,5,Other
88,Austria,5,Other
89,Austria,5,Other
90,Austria,5,Other
91,Austria,5,Other
92,Austria,5,Other
93,Austria,5,Other
94,Austria,5,Other
95,Austria,5,Other
96,Austria,5,Other
97,Austria,5,Other
98,Austria,5,Other
99,Austria,5,Other
100,Austria,5,Other
1,Croatia,7,Catholicsim
2,Croatia,7,Catholicsim
3,Croatia,7,Catholicsim
4,Croatia,7,Catholicsim
5,Croatia,7,Catholicsim
6,Croatia,7,Catholicsim
7,Croatia,7,Catholicsim
8,Croatia,7,Catholicsim
9,Croatia,7,Catholicsim
10,Croatia,7,Catholicsim
11,Croatia,7,Catholicsim
12,Croatia,7,Catholicsim
13,Croatia,7,Catholicsim
14,Croatia,7,Catholicsim
15,Croatia,7,Catholicsim
16,Croatia,7,Catholicsim
17,Croatia,7,Catholicsim
18,Croatia,7,Catholicsim
19,Croatia,7,Catholicsim
20,Croatia,7,Catholicsim
21,Croatia,7,Catholicsim
22,Croatia,7,Catholicsim
23,Croatia,7,Catholicsim
24,Croatia,7,Catholicsim
25,Croatia,7,Catholicsim
26,Croatia,7,Catholicsim
27,Croatia,7,Catholicsim
28,Croatia,7,Catholicsim
29,Croatia,7,Catholicsim
30,Croatia,7,Catholicsim
31,Croatia,7,Catholicsim
32,Croatia,7,Catholicsim
33,Croatia,7,Catholicsim
34,Croatia,7,Catholicsim
35,Croatia,7,Catholicsim
36,Croatia,7,Catholicsim
37,Croatia,7,Catholicsim
38,Croatia,7,Catholicsim
39,Croatia,7,Catholicsim
40,Croatia,7,Catholicsim
41,Croatia,7,Catholicsim
42,Croatia,7,Catholicsim
43,Croatia,7,Catholicsim
44,Croatia,7,Catholicsim
45,Croatia,7,Catholicsim
46,Croatia,7,Catholicsim
47,Croatia,7,Catholicsim
48,Croatia,7,Catholicsim
49,Croatia,7,Catholicsim
50,Croatia,7,Catholicsim
51,Croatia,7,Catholicsim
52,Croatia,7,Catholicsim
53,Croatia,7,Catholicsim
54,Croatia,7,Catholicsim
55,Croatia,7,Catholicsim
56,Croatia,7,Catholicsim
57,Croatia,7,Catholicsim
58,Croatia,7,Catholicsim
59,Croatia,7,Catholicsim
60,Croatia,7,Catholicsim
61,Croatia,7,Catholicsim
62,Croatia,7,Catholicsim
63,Croatia,7,Catholicsim
64,Croatia,7,Catholicsim
65,Croatia,7,Catholicsim
66,Croatia,7,Catholicsim
67,Croatia,7,Catholicsim
68,Croatia,7,Catholicsim
69,Croatia,7,Catholicsim
70,Croatia,7,Catholicsim
71,Croatia,7,Catholicsim
72,Croatia,7,Catholicsim
73,Croatia,7,Catholicsim
74,Croatia,7,Catholicsim
75,Croatia,7,Catholicsim
76,Croatia,7,Catholicsim
77,Croatia,7,Catholicsim
78,Croatia,7,Catholicsim
79,Croatia,7,Catholicsim
80,Croatia,7,Catholicsim
81,Croatia,7,Catholicsim
82,Croatia,7,Catholicsim
83,Croatia,7,Catholicsim
84,Croatia,7,Catholicsim
85,Croatia,7,Catholicsim
86,Croatia,7,Catholicsim
87,Croatia,7,Catholicsim
88,Croatia,7,Catholicsim
89,Croatia,6,Calvinism
90,Croatia,6,Calvinism
91,Croatia,5,Other
92,Croatia,5,Other
93,Croatia,5,Other
94,Croatia,5,Other
95,Croatia,5,Other
96,Croatia,5,Other
97,Croatia,5,Other
98,Croatia,5,Other
99,Croatia,5,Other
100,Croatia,5,Other
1,Slovenia,7,Catholicism
2,Slovenia,7,Catholicism
3,Slovenia,7,Catholicism
4,Slovenia,7,Catholicism
5,Slovenia,7,Catholicism
6,Slovenia,7,Catholicism
7,Slovenia,7,Catholicism
8,Slovenia,7,Catholicism
9,Slovenia,7,Catholicism
10,Slovenia,7,Catholicism
11,Slovenia,7,Catholicism
12,Slovenia,7,Catholicism
13,Slovenia,7,Catholicism
14,Slovenia,7,Catholicism
15,Slovenia,7,Catholicism
16,Slovenia,7,Catholicism
17,Slovenia,7,Catholicism
18,Slovenia,7,Catholicism
19,Slovenia,7,Catholicism
20,Slovenia,7,Catholicism
21,Slovenia,7,Catholicism
22,Slovenia,7,Catholicism
23,Slovenia,7,Catholicism
24,Slovenia,7,Catholicism
25,Slovenia,7,Catholicism
26,Slovenia,7,Catholicism
27,Slovenia,7,Catholicism
28,Slovenia,7,Catholicism
29,Slovenia,7,Catholicism
30,Slovenia,7,Catholicism
31,Slovenia,7,Catholicism
32,Slovenia,7,Catholicism
33,Slovenia,7,Catholicism
34,Slovenia,7,Catholicism
35,Slovenia,7,Catholicism
36,Slovenia,7,Catholicism
37,Slovenia,7,Catholicism
38,Slovenia,7,Catholicism
39,Slovenia,7,Catholicism
40,Slovenia,7,Catholicism
41,Slovenia,7,Catholicism
42,Slovenia,7,Catholicism
43,Slovenia,7,Catholicism
44,Slovenia,7,Catholicism
45,Slovenia,7,Catholicism
46,Slovenia,7,Catholicism
47,Slovenia,7,Catholicism
48,Slovenia,7,Catholicism
49,Slovenia,7,Catholicism
50,Slovenia,7,Catholicism
51,Slovenia,7,Catholicism
52,Slovenia,7,Catholicism
53,Slovenia,7,Catholicism
54,Slovenia,7,Catholicism
55,Slovenia,7,Catholicism
56,Slovenia,7,Catholicism
57,Slovenia,7,Catholicism
58,Slovenia,7,Catholicism
59,Slovenia,7,Catholicism
60,Slovenia,7,Catholicism
61,Slovenia,7,Catholicism
62,Slovenia,7,Catholicism
63,Slovenia,7,Catholicism
64,Slovenia,7,Catholicism
65,Slovenia,7,Catholicism
66,Slovenia,7,Catholicism
67,Slovenia,7,Catholicism
68,Slovenia,7,Catholicism
69,Slovenia,7,Catholicism
70,Slovenia,7,Catholicism
71,Slovenia,10,Lutheranism
72,Slovenia,10,Lutheranism
73,Slovenia,10,Lutheranism
74,Slovenia,10,Lutheranism
75,Slovenia,10,Lutheranism
76,Slovenia,10,Lutheranism
77,Slovenia,10,Lutheranism
78,Slovenia,10,Lutheranism
79,Slovenia,10,Lutheranism
80,Slovenia,10,Lutheranism
81,Slovenia,10,Lutheranism
82,Slovenia,10,Lutheranism
83,Slovenia,10,Lutheranism
84,Slovenia,10,Lutheranism
85,Slovenia,5,Other
86,Slovenia,5,Other
87,Slovenia,5,Other
88,Slovenia,5,Other
89,Slovenia,5,Other
90,Slovenia,5,Other
91,Slovenia,5,Other
92,Slovenia,5,Other
93,Slovenia,5,Other
94,Slovenia,5,Other
95,Slovenia,5,Other
96,Slovenia,5,Other
97,Slovenia,5,Other
98,Slovenia,5,Other
99,Slovenia,5,Other
100,Slovenia,5,Other
1,United States,6,Calvinism
2,United States,6,Calvinism
3,United States,6,Calvinism
4,United States,6,Calvinism
5,United States,6,Calvinism
6,United States,2,Roman_Catholicism
7,United States,2,Roman_Catholicism
8,United States,2,Roman_Catholicism
9,United States,2,Roman_Catholicism
10,United States,2,Roman_Catholicism
11,United States,2,Roman_Catholicism
12,United States,2,Roman_Catholicism
13,United States,2,Roman_Catholicism
14,United States,2,Roman_Catholicism
15,United States,2,Roman_Catholicism
16,United States,2,Roman_Catholicism
17,United States,2,Roman_Catholicism
18,United States,2,Roman_Catholicism
19,United States,2,Roman_Catholicism
20,United States,2,Roman_Catholicism
21,United States,2,Roman_Catholicism
22,United States,2,Roman_Catholicism
23,United States,2,Roman_Catholicism
24,United States,2,Roman_Catholicism
25,United States,2,Roman_Catholicism
26,United States,2,Roman_Catholicism
27,United States,2,Roman_Catholicism
28,United States,2,Roman_Catholicism
29,United States,2,Roman_Catholicism
30,United States,2,Roman_Catholicism
31,United States,2,Roman_Catholicism
32,United States,2,Roman_Catholicism
33,United States,2,Roman_Catholicism
34,United States,2,Roman_Catholicism
35,United States,2,Roman_Catholicism
36,United States,2,Roman_Catholicism
37,United States,2,Roman_Catholicism
38,United States,2,Roman_Catholicism
39,United States,2,Roman_Catholicism
40,United States,2,Roman_Catholicism
41,United States,2,Roman_Catholicism
42,United States,2,Roman_Catholicism
43,United States,2,Roman_Catholicism
44,United States,2,Roman_Catholicism
45,United States,2,Roman_Catholicism
46,United States,2,Roman_Catholicism
47,United States,2,Roman_Catholicism
48,United States,2,Roman_Catholicism
49,United States,2,Roman_Catholicism
50,United States,2,Roman_Catholicism
51,United States,2,Roman_Catholicism
52,United States,2,Roman_Catholicism
53,United States,2,Roman_Catholicism
54,United States,2,Roman_Catholicism
55,United States,2,Roman_Catholicism
56,United States,2,Roman_Catholicism
57,United States,2,Roman_Catholicism
58,United States,2,Roman_Catholicism
59,United States,2,Roman_Catholicism
60,United States,2,Roman_Catholicism
61,United States,2,Roman_Catholicism
62,United States,2,Roman_Catholicism
63,United States,2,Roman_Catholicism
64,United States,2,Roman_Catholicism
65,United States,2,Roman_Catholicism
66,United States,2,Roman_Catholicism
67,United States,2,Roman_Catholicism
68,United States,2,Roman_Catholicism
69,United States,2,Roman_Catholicism
70,United States,2,Roman_Catholicism
71,United States,2,Roman_Catholicism
72,United States,2,Roman_Catholicism
73,United States,2,Roman_Catholicism
74,United States,2,Roman_Catholicism
75,United States,2,Roman_Catholicism
76,United States,10,Lutheranism
77,United States,10,Lutheranism
78,United States,10,Lutheranism
79,United States,10,Lutheranism
80,United States,10,Lutheranism
81,United States,10,Lutheranism
82,United States,10,Lutheranism
83,United States,10,Lutheranism
84,United States,10,Lutheranism
85,United States,10,Lutheranism
86,United States,10,Lutheranism
87,United States,10,Lutheranism
88,United States,10,Lutheranism
89,United States,10,Lutheranism
90,United States,10,Lutheranism
91,United States,5,Other
92,United States,5,Other
93,United States,5,Other
94,United States,5,Other
95,United States,5,Other
96,United States,5,Other
97,United States,5,Other
98,United States,5,Other
99,United States,5,Other
100,United States,5,Other
1,Canada,11,Greek_Catholicism
2,Canada,11,Greek_Catholicism
3,Canada,11,Greek_Catholicism
4,Canada,11,Greek_Catholicism
5,Canada,11,Greek_Catholicism
6,Canada,11,Greek_Catholicism
7,Canada,11,Greek_Catholicism
8,Canada,11,Greek_Catholicism
9,Canada,11,Greek_Catholicism
10,Canada,11,Greek_Catholicism
11,Canada,11,Greek_Catholicism
12,Canada,11,Greek_Catholicism
13,Canada,11,Greek_Catholicism
14,Canada,11,Greek_Catholicism
15,Canada,11,Greek_Catholicism
16,Canada,11,Greek_Catholicism
17,Canada,11,Greek_Catholicism
18,Canada,11,Greek_Catholicism
19,Canada,11,Greek_Catholicism
20,Canada,11,Greek_Catholicism
21,Canada,11,Greek_Catholicism
22,Canada,11,Greek_Catholicism
23,Canada,11,Greek_Catholicism
24,Canada,11,Greek_Catholicism
25,Canada,11,Greek_Catholicism
26,Canada,11,Greek_Catholicism
27,Canada,11,Greek_Catholicism
28,Canada,11,Greek_Catholicism
29,Canada,11,Greek_Catholicism
30,Canada,11,Greek_Catholicism
31,Canada,11,Greek_Catholicism
32,Canada,11,Greek_Catholicism
33,Canada,11,Greek_Catholicism
34,Canada,11,Greek_Catholicism
35,Canada,11,Greek_Catholicism
36,Canada,11,Greek_Catholicism
37,Canada,11,Greek_Catholicism
38,Canada,11,Greek_Catholicism
39,Canada,11,Greek_Catholicism
40,Canada,11,Greek_Catholicism
41,Canada,11,Greek_Catholicism
42,Canada,11,Greek_Catholicism
43,Canada,11,Greek_Catholicism
44,Canada,11,Greek_Catholicism
45,Canada,11,Greek_Catholicism
46,Canada,11,Greek_Catholicism
47,Canada,11,Greek_Catholicism
48,Canada,11,Greek_Catholicism
49,Canada,11,Greek_Catholicism
50,Canada,11,Greek_Catholicism
51,Canada,11,Greek_Catholicism
52,Canada,11,Greek_Catholicism
53,Canada,11,Greek_Catholicism
54,Canada,11,Greek_Catholicism
55,Canada,11,Greek_Catholicism
56,Canada,11,Greek_Catholicism
57,Canada,11,Greek_Catholicism
58,Canada,11,Greek_Catholicism
59,Canada,11,Greek_Catholicism
60,Canada,11,Greek_Catholicism
61,Canada,11,Greek_Catholicism
62,Canada,11,Greek_Catholicism
63,Canada,11,Greek_Catholicism
64,Canada,11,Greek_Catholicism
65,Canada,11,Greek_Catholicism
66,Canada,11,Greek_Catholicism
67,Canada,11,Greek_Catholicism
68,Canada,11,Greek_Catholicism
69,Canada,11,Greek_Catholicism
70,Canada,11,Greek_Catholicism
71,Canada,11,Greek_Catholicism
72,Canada,11,Greek_Catholicism
73,Canada,11,Greek_Catholicism
74,Canada,11,Greek_Catholicism
75,Canada,11,Greek_Catholicism
76,Canada,11,Greek_Catholicism
77,Canada,11,Greek_Catholicism
78,Canada,11,Greek_Catholicism
79,Canada,11,Greek_Catholicism
80,Canada,11,Greek_Catholicism
81,Canada,11,Greek_Catholicism
82,Canada,11,Greek_Catholicism
83,Canada,11,Greek_Catholicism
84,Canada,11,Greek_Catholicism
85,Canada,11,Greek_Catholicism
86,Canada,11,Greek_Catholicism
87,Canada,11,Greek_Catholicism
88,Canada,11,Greek_Catholicism
89,Canada,11,Greek_Catholicism
90,Canada,11,Greek_Catholicism
91,Canada,11,Greek_Catholicism
92,Canada,11,Greek_Catholicism
93,Canada,11,Greek_Catholicism
94,Canada,11,Greek_Catholicism
95,Canada,11,Greek_Catholicism
96,Canada,11,Greek_Catholicism
97,Canada,11,Greek_Catholicism
98,Canada,11,Greek_Catholicism
99,Canada,11,Greek_Catholicism
100,Canada,11,Greek_Catholicism
1,Israel,13,Judaism
2,Israel,13,Judaism
3,Israel,13,Judaism
4,Israel,13,Judaism
5,Israel,13,Judaism
6,Israel,13,Judaism
7,Israel,13,Judaism
8,Israel,13,Judaism
9,Israel,13,Judaism
10,Israel,13,Judaism
11,Israel,13,Judaism
12,Israel,13,Judaism
13,Israel,13,Judaism
14,Israel,13,Judaism
15,Israel,13,Judaism
16,Israel,13,Judaism
17,Israel,13,Judaism
18,Israel,13,Judaism
19,Israel,13,Judaism
20,Israel,13,Judaism
21,Israel,13,Judaism
22,Israel,13,Judaism
23,Israel,13,Judaism
24,Israel,13,Judaism
25,Israel,13,Judaism
26,Israel,13,Judaism
27,Israel,13,Judaism
28,Israel,13,Judaism
29,Israel,13,Judaism
30,Israel,13,Judaism
31,Israel,13,Judaism
32,Israel,13,Judaism
33,Israel,13,Judaism
34,Israel,13,Judaism
35,Israel,13,Judaism
36,Israel,13,Judaism
37,Israel,13,Judaism
38,Israel,13,Judaism
39,Israel,13,Judaism
40,Israel,13,Judaism
41,Israel,13,Judaism
42,Israel,13,Judaism
43,Israel,13,Judaism
44,Israel,13,Judaism
45,Israel,13,Judaism
46,Israel,13,Judaism
47,Israel,13,Judaism
48,Israel,13,Judaism
49,Israel,13,Judaism
50,Israel,13,Judaism
51,Israel,13,Judaism
52,Israel,13,Judaism
53,Israel,13,Judaism
54,Israel,13,Judaism
55,Israel,13,Judaism
56,Israel,13,Judaism
57,Israel,13,Judaism
58,Israel,13,Judaism
59,Israel,13,Judaism
60,Israel,13,Judaism
61,Israel,13,Judaism
62,Israel,13,Judaism
63,Israel,13,Judaism
64,Israel,13,Judaism
65,Israel,13,Judaism
66,Israel,13,Judaism
67,Israel,13,Judaism
68,Israel,13,Judaism
69,Israel,13,Judaism
70,Israel,13,Judaism
71,Israel,13,Judaism
72,Israel,13,Judaism
73,Israel,13,Judaism
74,Israel,13,Judaism
